,x,y,"-d(s,g)"
0,-4,-4,-2.320892127896773
1,-3,-4,-1.8646297419064606
2,-2,-4,-1.4196181267095414
3,-1,-4,-0.9833495417276277
4,0,-4,-0.8428084264502016
5,1,-4,-0.9694784096605038
6,2,-4,-1.4119370970217648
7,3,-4,-1.8834928985057635
8,4,-4,-2.3231403484007638
9,-4,-3,-2.1458888561137655
10,-3,-3,-1.676763656352664
11,-2,-3,-1.2149833221332107
12,-1,-3,-0.7564328100210969
13,0,-3,-0.6132910124524193
14,1,-3,-0.7461410614490844
15,2,-3,-1.2044833612077865
16,3,-3,-1.6850833940488141
17,4,-3,-2.1499043383359293
18,-4,-2,-1.9674788023568643
19,-3,-2,-1.4801870972572593
20,-2,-2,-0.994117506695452
21,-1,-2,-0.5188655648768812
22,0,-2,-0.3757469314371653
23,1,-2,-0.5150466497257387
24,2,-2,-0.9914929214085365
25,3,-2,-1.486467743728795
26,4,-2,-1.9756147328114118
27,-4,-1,-1.7938870898799861
28,-3,-1,-1.2809943781338031
29,-2,-1,-0.7708837579271264
30,-1,-1,-0.2737008204206606
31,0,-1,-0.12308505310231199
32,1,-1,-0.2693272596106019
33,2,-1,-0.7646981532278805
34,3,-1,-1.284283661947787
35,4,-1,-1.795265100585988
36,-4,0,-1.6931865217562223
37,-3,0,-1.1783718315801601
38,-2,0,-0.6560372174113094
39,-1,0,-0.151828285614616
40,0,0,0.0007643921700453694
41,1,0,-0.1508534675343457
42,2,0,-0.6558894736350642
43,3,0,-1.177403506218136
44,4,0,-1.697497771573288
45,-4,1,-1.752940583840803
46,-3,1,-1.2531110634900653
47,-2,1,-0.727142404603209
48,-1,1,-0.22027560358564463
49,0,1,-0.06517014470951363
50,1,1,-0.21972027867223806
51,2,1,-0.7279364589180937
52,3,1,-1.253468723203218
53,4,1,-1.7506872140486187
54,-4,2,-2.153592078896645
55,-3,2,-1.6586854543942713
56,-2,2,-1.1284910771316001
57,-1,2,-0.6194201774378909
58,0,2,-0.4677592892846607
59,1,2,-0.6280243934550986
60,2,2,-1.1482504670292955
61,3,2,-1.6785039171732614
62,4,2,-2.1800795304339955
63,-4,3,-2.749226989982468
64,-3,3,-2.21337650358888
65,-2,3,-1.6192825671589393
66,-1,3,-1.0775752801735452
67,0,3,-0.9155624367583013
68,1,3,-1.0821287549296306
69,2,3,-1.6218617294289683
70,3,3,-2.2169183728159134
71,4,3,-2.794050991737776
72,-4,4,-3.330001194562861
73,-3,4,-2.7168688016889484
74,-2,4,-2.059814464269099
75,-1,4,-1.505127693936744
76,0,4,-1.339537013598914
77,1,4,-1.5092132330354069
78,2,4,-2.0587923146596507
79,3,4,-2.7009660067259444
80,4,4,-3.3102916883132867
